equipment_id,service,failure_type,mtbf,mttr,equipment_age,label_90d,year
EQ001,OperatingRoom,MEC-02,160,7,5,0,2023
EQ002,OperatingRoom,ECL-01,112,10,2,0,2018
EQ003,Maternity,ELEC-04,219,4,10,0,2023
EQ004,Laboratory,AUT-05,146,11,6,0,2019
EQ005,ICU,LOG-03,161,6,5,1,2018
EQ006,OperatingRoom,AUT-05,114,9,7,1,2018
EQ007,ICU,ECL-01,121,10,3,1,2023
EQ008,Laboratory,LOG-03,139,5,2,0,2020
EQ009,OperatingRoom,ELEC-04,115,10,6,1,2023
EQ010,Radiology,ELEC-04,184,9,5,1,2023
EQ011,OperatingRoom,ECL-01,133,12,5,0,2021
EQ012,ICU,LOG-03,146,9,2,0,2018
EQ013,Radiology,AUT-05,158,5,5,1,2019
EQ014,ICU,AUT-05,207,6,6,0,2019
EQ015,Laboratory,ECL-01,157,10,8,1,2019
EQ016,Maternity,ECL-01,216,5,2,0,2019
EQ017,Maternity,AUT-05,106,10,8,1,2022
EQ018,Radiology,ECL-01,92,5,10,1,2023
EQ019,Radiology,MEC-02,165,10,4,1,2018
EQ020,Radiology,ECL-01,135,12,3,1,2023
EQ021,Laboratory,ECL-01,140,6,7,0,2022
EQ022,Laboratory,MEC-02,172,11,2,0,2020
EQ023,Radiology,ELEC-04,104,7,3,0,2023
EQ024,ICU,MEC-02,226,6,4,1,2022
EQ025,Maternity,LOG-03,225,10,5,0,2023
EQ026,Radiology,AUT-05,185,11,10,1,2018
EQ027,Maternity,ELEC-04,106,9,2,0,2022
EQ028,Maternity,MEC-02,108,4,5,0,2018
EQ029,Radiology,MEC-02,221,7,6,1,2019
EQ030,Laboratory,ELEC-04,211,7,9,1,2019
EQ031,OperatingRoom,MEC-02,200,9,8,1,2021
EQ032,OperatingRoom,MEC-02,105,10,7,0,2019
EQ033,Maternity,ELEC-04,227,11,4,1,2019
EQ034,Radiology,AUT-05,153,5,9,0,2018
EQ035,Laboratory,MEC-02,113,7,4,1,2021
EQ036,ICU,ELEC-04,192,4,4,1,2018
EQ037,ICU,LOG-03,206,8,8,1,2019
EQ038,Maternity,LOG-03,145,4,10,0,2023
EQ039,Radiology,MEC-02,102,11,10,0,2018
EQ040,Laboratory,MEC-02,137,5,3,0,2021
EQ041,OperatingRoom,ECL-01,153,4,3,1,2023
EQ042,Laboratory,ECL-01,223,9,6,0,2023
EQ043,Radiology,ELEC-04,157,10,4,1,2021
EQ044,Radiology,MEC-02,92,11,3,0,2022
EQ045,Maternity,ECL-01,157,6,7,0,2019
EQ046,Radiology,LOG-03,130,11,10,1,2022
EQ047,Laboratory,MEC-02,166,5,4,1,2018
EQ048,OperatingRoom,ECL-01,129,8,6,0,2023
EQ049,Radiology,ELEC-04,157,12,9,1,2018
EQ050,OperatingRoom,AUT-05,160,4,2,1,2019
EQ051,Radiology,ELEC-04,203,12,8,0,2018
EQ052,OperatingRoom,ELEC-04,229,4,7,0,2021
EQ053,Maternity,MEC-02,168,9,2,1,2019
EQ054,Maternity,MEC-02,180,12,8,0,2019
EQ055,Maternity,ELEC-04,195,4,4,1,2021
EQ056,Maternity,LOG-03,130,5,8,0,2021
EQ057,Maternity,ELEC-04,207,9,6,0,2019
EQ058,OperatingRoom,ELEC-04,192,9,6,0,2020
EQ059,Radiology,ECL-01,192,12,7,0,2018
EQ060,Radiology,ELEC-04,157,4,3,1,2020
EQ061,Radiology,AUT-05,220,5,8,0,2020
EQ062,OperatingRoom,AUT-05,90,12,10,0,2020
EQ063,ICU,MEC-02,174,9,3,1,2022
EQ064,Radiology,AUT-05,173,10,6,0,2019
EQ065,ICU,AUT-05,134,8,8,0,2020
EQ066,Radiology,ELEC-04,200,9,9,1,2021
EQ067,Maternity,ECL-01,211,6,3,1,2022
EQ068,Laboratory,LOG-03,113,7,6,0,2019
EQ069,Maternity,MEC-02,101,7,9,0,2021
EQ070,ICU,ECL-01,139,10,9,1,2019
EQ071,Maternity,MEC-02,117,10,5,0,2023
EQ072,Laboratory,AUT-05,102,12,5,0,2021
EQ073,Maternity,AUT-05,225,12,7,1,2022
EQ074,Laboratory,AUT-05,230,11,4,1,2021
EQ075,Radiology,ELEC-04,160,12,9,0,2020
EQ076,ICU,MEC-02,163,7,6,1,2020
EQ077,Laboratory,MEC-02,125,6,5,1,2023
EQ078,Maternity,ELEC-04,106,10,8,1,2022
EQ079,ICU,AUT-05,105,7,8,1,2022
EQ080,OperatingRoom,ECL-01,187,11,2,1,2020
EQ081,ICU,AUT-05,227,12,5,1,2019
EQ082,Radiology,AUT-05,214,4,8,1,2023
EQ083,ICU,ELEC-04,209,6,10,0,2021
EQ084,Laboratory,ECL-01,96,5,8,0,2021
EQ085,Maternity,MEC-02,156,10,7,0,2021
EQ086,Radiology,LOG-03,187,8,8,1,2018
EQ087,ICU,MEC-02,228,4,7,0,2023
EQ088,OperatingRoom,MEC-02,97,7,5,0,2022
EQ089,Maternity,ELEC-04,122,11,3,0,2021
EQ090,Radiology,LOG-03,132,5,4,1,2018
EQ091,Laboratory,MEC-02,169,10,8,0,2018
EQ092,Laboratory,ELEC-04,116,8,3,0,2020
EQ093,Laboratory,AUT-05,184,5,10,1,2018
EQ094,ICU,AUT-05,117,10,7,1,2023
EQ095,Maternity,AUT-05,135,12,6,1,2021
EQ096,ICU,ECL-01,158,9,5,0,2020
EQ097,ICU,ELEC-04,208,10,7,0,2021
EQ098,Radiology,ELEC-04,214,7,7,1,2020
EQ099,Radiology,ECL-01,160,12,2,0,2018
EQ100,Maternity,AUT-05,215,12,5,1,2023
EQ101,ICU,AUT-05,94,5,6,0,2021
EQ102,Maternity,LOG-03,184,11,10,1,2021
EQ103,Laboratory,LOG-03,180,11,6,1,2020
EQ104,Maternity,MEC-02,139,9,3,0,2019
EQ105,Maternity,AUT-05,160,12,6,0,2019
EQ106,Radiology,ELEC-04,182,6,6,0,2023
EQ107,Laboratory,ELEC-04,160,4,2,1,2023
EQ108,Maternity,AUT-05,116,4,6,1,2021
EQ109,ICU,LOG-03,137,4,6,1,2018
EQ110,OperatingRoom,AUT-05,215,5,2,0,2019
EQ111,Laboratory,LOG-03,111,7,3,1,2022
EQ112,Laboratory,ECL-01,147,12,8,1,2021
EQ113,Radiology,ECL-01,199,8,2,0,2019
EQ114,Maternity,LOG-03,110,6,5,0,2022
EQ115,OperatingRoom,ELEC-04,90,10,9,1,2020
EQ116,OperatingRoom,ELEC-04,163,8,9,0,2023
EQ117,Maternity,LOG-03,140,10,3,0,2023
EQ118,Maternity,LOG-03,126,5,2,0,2020
EQ119,Laboratory,ECL-01,163,11,3,1,2023
EQ120,Radiology,AUT-05,159,12,10,1,2021
EQ121,OperatingRoom,ECL-01,100,10,7,1,2018
EQ122,OperatingRoom,ELEC-04,95,8,2,0,2021
EQ123,Laboratory,AUT-05,161,6,8,1,2018
EQ124,ICU,LOG-03,194,9,7,0,2019
EQ125,Radiology,AUT-05,216,8,8,0,2021
EQ126,OperatingRoom,LOG-03,154,9,3,1,2022
EQ127,OperatingRoom,ECL-01,208,10,2,0,2022
EQ128,Radiology,ECL-01,217,11,2,0,2020
EQ129,Laboratory,ELEC-04,163,11,9,0,2018
EQ130,Laboratory,ELEC-04,130,8,10,0,2022
EQ131,ICU,MEC-02,147,5,9,0,2023
EQ132,Maternity,AUT-05,164,12,6,1,2021
EQ133,ICU,ELEC-04,206,12,4,1,2019
EQ134,Laboratory,ECL-01,124,5,6,1,2020
EQ135,Laboratory,LOG-03,90,8,6,1,2019
EQ136,ICU,ECL-01,213,9,7,1,2021
EQ137,Radiology,ELEC-04,151,10,5,1,2018
EQ138,Radiology,AUT-05,187,10,4,1,2018
EQ139,Maternity,ECL-01,174,5,9,0,2022
EQ140,ICU,MEC-02,126,10,4,0,2021
EQ141,Radiology,LOG-03,191,5,7,1,2020
EQ142,ICU,ECL-01,99,5,5,1,2019
EQ143,OperatingRoom,AUT-05,115,5,9,0,2023
EQ144,Radiology,MEC-02,101,9,2,1,2020
EQ145,Radiology,AUT-05,127,7,10,1,2022
EQ146,Maternity,ELEC-04,134,5,8,0,2021
EQ147,Laboratory,ELEC-04,149,11,6,1,2020
EQ148,OperatingRoom,AUT-05,163,12,4,0,2021
EQ149,Radiology,ECL-01,166,10,6,1,2020
EQ150,Maternity,AUT-05,213,5,5,1,2022
EQ151,Radiology,ECL-01,165,8,2,1,2020
EQ152,OperatingRoom,ECL-01,102,11,6,0,2022
EQ153,Radiology,ELEC-04,138,8,4,0,2023
EQ154,OperatingRoom,LOG-03,202,4,7,0,2018
EQ155,Radiology,LOG-03,196,6,5,0,2022
EQ156,Radiology,ECL-01,218,8,4,1,2021
EQ157,Radiology,LOG-03,119,11,3,0,2019
EQ158,ICU,ECL-01,183,5,8,0,2020
EQ159,Laboratory,MEC-02,206,9,6,1,2023
EQ160,Radiology,MEC-02,149,11,2,1,2022
EQ161,Maternity,MEC-02,208,8,8,0,2019
EQ162,OperatingRoom,MEC-02,167,11,3,0,2019
EQ163,Laboratory,ELEC-04,189,11,7,1,2022
EQ164,Maternity,AUT-05,115,11,8,1,2018
EQ165,Radiology,ELEC-04,203,11,5,1,2018
EQ166,Radiology,ECL-01,181,4,8,1,2019
EQ167,OperatingRoom,AUT-05,113,7,2,0,2020
EQ168,Maternity,ELEC-04,142,5,10,0,2022
EQ169,Maternity,ELEC-04,174,6,2,1,2019
EQ170,Maternity,ECL-01,154,6,3,0,2019
EQ171,OperatingRoom,LOG-03,150,9,2,0,2020
EQ172,OperatingRoom,ELEC-04,197,12,3,0,2021
EQ173,ICU,LOG-03,221,5,9,0,2022
EQ174,OperatingRoom,ECL-01,167,11,2,0,2021
EQ175,ICU,AUT-05,117,11,9,0,2018
EQ176,Radiology,ECL-01,127,5,4,1,2022
EQ177,Laboratory,ECL-01,173,10,10,1,2021
EQ178,Laboratory,ECL-01,200,5,3,0,2021
EQ179,ICU,ELEC-04,195,9,9,1,2021
EQ180,OperatingRoom,LOG-03,199,9,6,1,2019
EQ181,ICU,MEC-02,113,5,3,1,2018
EQ182,Radiology,ELEC-04,105,12,10,1,2023
EQ183,OperatingRoom,AUT-05,180,10,2,1,2022
EQ184,Radiology,LOG-03,116,12,5,0,2023
EQ185,ICU,ELEC-04,117,9,10,1,2018
EQ186,Radiology,ECL-01,147,10,10,0,2022
EQ187,Radiology,MEC-02,136,8,6,1,2020
EQ188,OperatingRoom,ELEC-04,126,10,3,0,2023
EQ189,OperatingRoom,MEC-02,225,7,8,1,2021
EQ190,Radiology,ELEC-04,184,8,7,0,2018
EQ191,Maternity,ELEC-04,102,5,6,1,2023
EQ192,ICU,AUT-05,203,10,6,0,2022
EQ193,OperatingRoom,LOG-03,200,5,6,1,2022
EQ194,Radiology,MEC-02,146,10,2,0,2019
EQ195,Radiology,ELEC-04,125,8,6,1,2018
EQ196,OperatingRoom,AUT-05,200,6,4,1,2022
EQ197,Maternity,ECL-01,180,5,8,0,2021
EQ198,OperatingRoom,AUT-05,109,9,8,1,2023
EQ199,ICU,LOG-03,119,10,2,1,2019
EQ200,Laboratory,AUT-05,182,5,8,0,2019
